ip_address,count,coordinates,latitude,longitude,nearest_university,distance_to_nearest,distance_to_other
24.96.122.202,6,"('34.7095', '-86.7361')",34.7095,-86.7361,OTHER,2884.87048899596,2897.881220004662
188.198.54.189,4,"('46.0503', '14.5046')",46.0503,14.5046,OTHER,9930.662658129715,9933.337852739443
106.222.228.76,3,"('17.3724', '78.4378')",17.3724,78.4378,OTHER,14031.92452117192,14022.09602806254
68.162.99.82,8,"('39.715', '-75.6178')",39.715,-75.6178,OTHER,3811.6421350905275,3822.8011296520294
129.137.96.15,6,"('39.1417', '-84.5172')",39.1417,-84.5172,OTHER,3050.2483610129716,3061.6908131787736
74.74.234.69,10,"('43.2314', '-77.309')",43.2314,-77.309,OTHER,3663.8269701746167,3673.791138333454
173.230.7.11,8,"('40.4444', '-86.9256')",40.4444,-86.9256,OTHER,2850.3059679782095,2861.1998122628297
207.81.250.231,2,"('49.2732', '-123.0124')",49.2732,-123.0124,OTHER,1739.7996932012018,1731.8180506286776
62.150.121.10,6,"('29.3645', '47.9889')",29.3645,47.9889,OTHER,12820.620479120369,12818.700771305275
100.14.125.25,11,"('40.0619', '-74.9987')",40.0619,-74.9987,OTHER,3861.5738999112127,3872.6118396573816
92.16.173.190,4,"('51.5943', '-0.2491')",51.5943,-0.2491,OTHER,8747.811216085893,8751.365546328836
129.186.253.174,2,"('42.0514', '-93.6908')",42.0514,-93.6908,OTHER,2321.1615762807874,2330.874508718084
77.241.129.114,4,"('55.6769', '12.5268')",55.6769,12.5268,OTHER,9005.428947609636,9006.790243403511
116.240.122.125,2,"('-31.9388', '115.8638')",-31.9388,115.8638,OTHER,15018.686359330553,15006.046219754022
50.222.193.24,2,"('35.115', '-80.7061')",35.115,-80.7061,OTHER,3422.504362168483,3435.1843282311756
197.90.232.247,13,"('-26.2309', '28.0583')",-26.2309,28.0583,OTHER,16680.785201731735,16694.36746416256
122.150.150.184,6,"('-33.8069', '150.9845')",-33.8069,150.9845,OTHER,12083.34939034907,12073.431834566416
74.213.80.132,7,"('18.0525', '-67.0619')",18.0525,-67.0619,OTHER,5356.369268954253,5371.0482374769745
73.176.129.187,2,"('41.972', '-87.7596')",41.972,-87.7596,OTHER,2799.763052613283,2809.9546875565247
73.128.67.34,8,"('38.5956', '-76.9908')",38.5956,-76.9908,OTHER,3703.6901563826987,3715.228406718403
35.143.166.214,4,"('28.8216', '-82.2864')",28.8216,-82.2864,OTHER,3446.5453620971443,3460.727929008872
217.165.164.226,6,"('25.3412', '55.4224')",25.3412,55.4224,OTHER,13380.79428076336,13377.148209053825
208.90.92.140,14,"('42.5877', '-83.1644')",42.5877,-83.1644,OTHER,3183.271061522051,3193.37341852884
104.28.40.140,2,"('51.5074', '-0.1196')",51.5074,-0.1196,OTHER,8760.926806774896,8764.484015863609
1.129.106.107,11,"('-33.8539', '151.0296')",-33.8539,151.0296,OTHER,12082.237760756452,12072.332737771996
92.38.41.117,9,"('49.2335', '28.4817')",49.2335,28.4817,OTHER,10191.83183784395,10191.96798487515
208.180.250.172,8,"('30.6032', '-96.3136')",30.6032,-96.3136,OTHER,2095.2789271900215,2109.8559305771305
73.73.15.169,2,"('42.0048', '-87.9954')",42.0048,-87.9954,OTHER,2781.0218416043203,2791.1867557267146
100.2.155.43,4,"('40.7123', '-73.7985')",40.7123,-73.7985,OTHER,3958.072843559794,3968.883962914765
